,Trait_Link,Levodopa_Responsiveness,DBS_Responsiveness,Abs_Trait,Abs_Levo,Abs_DBS,Mean_Response,Category,GMM_Cluster,GMM_Label,GMM_Conf
MeanRMSVelocity,0.04899386314777743,24.962317297510953,26.086616726417443,0.04899386314777743,24.962317297510953,26.086616726417443,25.524467011964198,Speed,0,Comprehensive,0.9997691904462709
MeanCycleDuration,0.1310544333470341,-18.063311341889595,-4.695197802288085,0.1310544333470341,18.063311341889595,4.695197802288085,11.37925457208884,Timing/Rhythm,0,Comprehensive,0.9744037321746031
CV_CycleDuration,-0.006432676275821642,0.8106745617720912,10.683868628337914,0.006432676275821642,0.8106745617720912,10.683868628337914,5.747271595055002,Timing/Rhythm,0,Comprehensive,0.9998554659212511
CV_RMSVelocity,-0.1815781448514686,4.662383707788913,-2.7212905798201126,0.1815781448514686,4.662383707788913,2.7212905798201126,3.6918371438045128,Variability/Consistency,0,Comprehensive,0.919152845865208
RateDecay,-0.17181831778034673,17.896311855850982,13.596948268877448,0.17181831778034673,17.896311855850982,13.596948268877448,15.746630062364215,Variability/Consistency,0,Comprehensive,0.6609619662280852
StdSpeed,0.1489954563585538,1.924898895192515,-5.229300886905575,0.1489954563585538,1.924898895192515,5.229300886905575,3.577099891049045,Variability/Consistency,0,Comprehensive,0.9757700501117559
StdAmplitude,-0.11909491086447815,-9.549874602534729,-4.399059988079833,0.11909491086447815,9.549874602534729,4.399059988079833,6.9744672953072815,Variability/Consistency,0,Comprehensive,0.9895374099092253
CV_Speed,-0.0760412360184132,-21.457323560865483,-13.549498598216047,0.0760412360184132,21.457323560865483,13.549498598216047,17.503411079540765,Variability/Consistency,0,Comprehensive,0.9983845431958346
CV_OpeningSpeed,0.05888967104178458,-27.592803521934712,-18.46028676246363,0.05888967104178458,27.592803521934712,18.46028676246363,23.026545142199172,Variability/Consistency,0,Comprehensive,0.9994934765143081
StdClosingSpeed,0.05083625880740658,12.528139633100686,13.33514602051619,0.05083625880740658,12.528139633100686,13.33514602051619,12.931642826808439,Variability/Consistency,0,Comprehensive,0.9995762606942908
MeanClosingSpeed,0.24963210933120136,-26.74847110960016,-24.490900646192273,0.24963210933120136,26.74847110960016,24.490900646192273,25.619685877896217,Speed,1,State,0.9996918730754404
Frequency,-0.2407456669912929,26.58781436815228,9.308185253715118,0.2407456669912929,26.58781436815228,9.308185253715118,17.9479998109337,Speed,1,State,0.9878900476404712
Rate,0.22433198060031628,37.594242315219155,19.012044112115042,0.22433198060031628,37.594242315219155,19.012044112115042,28.3031432136671,Speed,1,State,0.9990447719058795
StdCycleDuration,-0.3845616292781482,-25.446388491030433,-25.148853171277246,0.3845616292781482,25.446388491030433,25.148853171277246,25.29762083115384,Timing/Rhythm,1,State,0.999999996233095
RangeCycleDuration,0.32743238912149575,36.42198760773333,27.28100031954849,0.32743238912149575,36.42198760773333,27.28100031954849,31.85149396364091,Timing/Rhythm,1,State,0.9999999899867422
CV_ClosingSpeed,-0.2953796045109687,33.65242814551475,42.302308181071496,0.2953796045109687,33.65242814551475,42.302308181071496,37.97736816329312,Variability/Consistency,1,State,0.9999999920388074
VelocityDecay,-0.26244661760992466,-23.162952019553128,-4.967961329934273,0.26244661760992466,23.162952019553128,4.967961329934273,14.0654566747437,Variability/Consistency,1,State,0.9824172699962916
MeanAmplitude,0.32,6.0,8.0,0.32,6.0,8.0,7.0,Amplitude,2,Trait,0.9956511635547142
MeanSpeed,0.3130357298074371,-4.354670969441581,-7.33455957971643,0.3130357298074371,4.354670969441581,7.33455957971643,5.844615274579006,Speed,2,Trait,0.9948293723488268
MeanOpeningSpeed,-0.28300410974784806,5.996410688952812,14.109929742324237,0.28300410974784806,5.996410688952812,14.109929742324237,10.053170215638524,Speed,2,Trait,0.8953246285604708
CV_Amplitude,-0.38,8.5,9.5,0.38,8.5,9.5,9.0,Variability/Consistency,2,Trait,0.9966320434429812
StdOpeningSpeed,-0.35643729087385045,11.469019820342973,0.7830406240479935,0.35643729087385045,11.469019820342973,0.7830406240479935,6.126030222195483,Variability/Consistency,2,Trait,0.998291136057381
StdRMSVelocity,-0.2829860196681726,-16.02283524891482,-2.508272974172348,0.2829860196681726,16.02283524891482,2.508272974172348,9.265554111543583,Variability/Consistency,2,Trait,0.9484492767322558
AmplitudeDecay,-0.26363127459467456,-8.677036157864052,1.1836292976507385,0.26363127459467456,8.677036157864052,1.1836292976507385,4.930332727757396,Variability/Consistency,2,Trait,0.9461078340937121
